,COMPOUND,CATEGORIZATION,MEANING,ETYMOLOGY,OCCURRENCE,CASE/GENDER/NUMBER,HEADEDNESS,CLASSIFICATION,NOTES,HEADEDNESS COMMENTS,SKR CLASSIFICATION,SKR MAIN CLASSIFICATION,MAIN CLASSIFICATION,POS,STRUCTURE,Prefix,First Element,Linking Vowel,Second Element,Suffix
0,"εὔθυμος, -ον",A [Adv+N+Suf],"‘kind, generous’","εὐ ‘well’ + noun root θυμ- (θυμός) ‘soul, spirit’ + adj. suf. -ος, -ον","Od. 14, 63",nom. m. sg.,exocentric,attributive,"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 εὔθυμος 
 
 
 Last Updated  8 anni ago  in  ε",,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],εὐ ‘well’,"noun root θυμ- (θυμός) ‘soul, spirit’ ",,,"adj. suf. -ος, -ον"
1,"ἀ ρηΐθοος, -ον",A [N+A],‘swift in war’,"noun case form Ἄρηϊ (Ἄρης) ‘Ares; war’ + θοός, (- ή),  – όν , ‘quick, nimble’","Il. VII, 8, 10, 137, 138; VIII, 298; XV, 315; XX, 167","gen. m. sg., nom. sg., gen. pl.",endocentric,determinative,"accent shift in compounding 
 
 
 
  
 
    Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 ἀρηΐθοος 
 
 
 Last Updated  8 anni ago  in  A",(right-headed),karmadhāraya,karmadhāraya,determinative,A,[N+A],noun case form Ἄρηϊ (Ἄρης) ‘Ares; war’,,,,"θοός, (- ή),  – όν , ‘quick, nimble’"
2,"Ὑπερίων, -ονος",N [Adv+V],"‘Hyperion’, in Hom. ‘the Sun-god’","ὑπέρ ‘over, above’ +    ἰών    (part. of   εἶμι  ) ‘  come  or  go  ‘","Il. VIII, 480; XIX, 398; Od. I, 8, 24; XII, 133, 263, 346, 374","nom. m. sg., gen. sg., dat. sg.",exocentric,determinative,"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 Ὑπερίων 
 
 
 Last Updated  8 anni ago  in  υ",,karmadhāraya,karmadhāraya,determinative,N,[Adv+V],"ὑπέρ ‘over, above’",,,,ἰών    (part. of   εἶμι  ) ‘  come  or  go  ‘
3,"ἀστεροπή, -ῆς (=στεροπή, -ῆς)",N [N+V/N+Suf],"‘flash of lightning, lightning’","ἀστήρ  ‘star’ + verb/noun root ὄπ- (ὄψομαι ‘see’, ὄψις ‘aspect’) + f. noun suf. -η","Il. XI, 66, 83, 184; XIII, 242; XIV, 386","nom. f. sg., dat. sg., acc. sg.",exocentric,determinative,"parallel forms ἀστραπή, ἀστράπτω are difficult to account for if the word is a compound of ὀπ-. Others think of a Pre-Greek word.  
 
 
 
  
 
    Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 ἀστεροπή 
 
 
 Last Updated  8 anni ago  in  A",,karmadhāraya,karmadhāraya,determinative,N,[N+V/N+Suf],ἀστήρ  ‘star’,"verb/noun root ὄπ- (ὄψομαι ‘see’, ὄψις ‘aspect’) ",,,f. noun suf. -η
4,"λεχεποίης, ου",N [N+N+Suf],"‘grown with grass fit to make a bed,  i.e. grassy, meadowy (epith. of various towns) ‘","noun stem λεχε- (λέχος) ‘bed’ + noun stem ποι-   (ποί  η, ion. form of  πόα   ) ‘grass’ + noun suf. – ης","Il. IV, 383.",acc. m. sg.,endocentric,subordinate (N-argument),"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 λεχεποίης 
 
 
 Last Updated  8 anni ago  in  λ",(right-headed),tatpuruṣa (N-governing ),tatpuruṣa,subordinate,N,[N+N+Suf],,noun stem λεχε- (λέχος) ‘bed’ ,,"noun stem ποι-   (ποί  η, ion. form of  πόα   ) ‘grass’ ",noun suf. – ης
5,"φυγοπτόλεμος, -ον",A [V+N+Suf],"‘shunning war, cowardly’","verbal root φυγ- (φεύγω) ‘flee’ + noun root πτόλεμ- (πτόλεμος) ‘war’ + adj. suf. -ος, -ον","Od. 14, 213",nom. m. sg.,exocentric,subordinate (V-argument),"poet. for Φυγοπόλεμος 
   
  
 
 
 
  
 
    Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 φυγοπτόλεμος 
 
 
 Last Updated  8 anni ago  in  φ",,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A,[V+N+Suf],,verbal root φυγ- (φεύγω) ‘flee’ ,,noun root πτόλεμ- (πτόλεμος) ‘war’ ,"adj. suf. -ος, -ον"
6,"πολύμυθος, -ον",A [A+N+Suf],‘wordy’,"πολύ- (πολύς, πολλή, πολύ) – ‘much’ + noun root μῦθ- (μῦθος) ‘word’ + adj. suf. -ος –ον","Od. II, 200; III, 214","nom. m. sg., acc. sg.",endocentric,determinative,"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 πολύμυθος 
 
 
 Last Updated  8 anni ago  in  π",– right-headed,karmadhāraya,karmadhāraya,determinative,A,[A+N+Suf],"πολύ- (πολύς, πολλή, πολύ) – ‘much’",noun root μῦθ- (μῦθος) ‘word’ ,,,adj. suf. -ος –ον
7,"Προθόων, -νος",N [Adv+V+Suf],‘Protoon’,"πρό ‘before, forth’+ verbal root θέ- (θέω) ‘run’ + noun suf. –ων","Il. XIV, 515",acc. m. sg.,exocentric,determinative,"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 Προθόων 
 
 
 Last Updated  8 anni ago  in  π",,karmadhāraya,karmadhāraya,determinative,N,[Adv+V+Suf],"πρό ‘before, forth’",verbal root θέ- (θέω) ‘run’ ,,,noun suf. –ων
8,"κερτόμιος, -ον",A   [N+V+Suf],"‘mocking, taunting’","noun root κ  ε  ρ- (κῆρ, perh. contr. from κέαρ)   ‘heart’   + verbal root τομ- (τέμνω)   ‘cut’   +  adj. suf. -ιος, -ιον","Il. I, 539; IV, 6; V, 419; Od. IX, 474; XX, 177; XXIV, 240",dat. n. pl.,exocentric,subordinate (argument-V),"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 κερτόμιος 
 
 
 Last Updated  8 anni ago  in  κ",,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A,,,"noun root κ  ε  ρ- (κῆρ, perh. contr. from κέαρ)   ‘heart’ ",,verbal root τομ- (τέμνω)   ‘cut’ ,"adj. suf. -ιος, -ιον"
9,"εὐχροής, -ές",A [Adv+N+Suf],‘bright-colored’,"εὐ ‘well’ + noun root χρο- (χρόα) ‘colour’ + adj. suf. -ής, -ές","Od. 14, 24",nom. n. sg.,exocentric,attributive,"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 εὐχροής 
 
 
 Last Updated  8 anni ago  in  ε",,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],εὐ ‘well’,noun root χρο- (χρόα) ‘colour’ ,,,"adj. suf. -ής, -ές"
10,"ἐυπλοκαμίς, -ῖδος",A [Adv+N+Suf],‘with beautiful tresses’,"εὖ ‘well’ + noun stem πλοκαμι- (πλοκαμίς) ‘tress’ + adj. suf. -ις, -ιδος","Od. II, 119; XIX, 542",nom. f. pl.,exocentric,attributive,"Latest Compounds   
     Ἀχιλλεύς  
     Εὐρυμέδουσα  
     Πολύδωρος  
     οἰνοβαρής  
     Νήριτος  
     κερτόμιος  
     μενέχαρμος  
     λεχεποίη  
     ἀθάνατος  
     ἀεσιφροσύνη  
 
     
  
  
 
 
 
 
 
 
 
 
 
 
 
 Powered by  Technocracy    
 
 
 
 
  
  
  
 
  
 
 
 
 
   
 
 
  
  
  
 
 
 
   Homeric Greek Compounds Project  
   
 
 
   Homeric Greek Compounds Project     
 
 
 
 
 
 
 
  
  
 
 
 
 
 
    
 
 
  _url = 'http //homeric-compounds.scienzeumanistiche.eu'; 
 
 
 
 
 
 
 
 
 
    Compounds   
  
 
 ἐυπλοκαμίς 
 
 
 Last Updated  8 anni ago  in  ε",,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],εὖ ‘well’,noun stem πλοκαμι- (πλοκαμίς) ‘tress’ ,,,"adj. suf. -ις, -ιδος"
